family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_pi,integer,exp_a_2,4,1.292,0.6561,0,2.75
category+sub_network,SC_Binary_pi,integer,exp_b_3,4,0.757,0.4198,0,1.5
category+sub_network,SC_Binary_pi,integer,exp_c_5,4,0.253,0.2191,0,0.75
category+sub_network,SC_Binary_pi,integer,exp_d_7,4,0.5225,0.2457,0,1
category+sub_network,SC_Binary_pi,rational,q_avg,2,6.014,0.7027,5,7
category+sub_network,SC_Binary_sigma,integer,exp_a_2,6,0.8377,0.2776,0.3333,1.333
category+sub_network,SC_Binary_sigma,integer,exp_b_3,6,0.682,0.3069,0.1667,1.333
category+sub_network,SC_Binary_sigma,integer,exp_c_5,6,0.4957,0.2012,0.1667,0.8333
category+sub_network,SC_Binary_sigma,integer,exp_d_7,6,0.3467,0.1884,0,0.6667
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,4,6.187,1.484,2.75,8
category+sub_network,SC_Binary_single,integer,exp_a_2,24,1.272,0.2663,0.8115,1.833
category+sub_network,SC_Binary_single,integer,exp_b_3,24,0.587,0.1901,0.25,1
category+sub_network,SC_Binary_single,integer,exp_c_5,24,0.3407,0.0991,0.1667,0.5417
category+sub_network,SC_Binary_single,integer,exp_d_7,24,0.4689,0.1305,0.2281,0.7083
category+sub_network,SC_Binary_single,rational,q_avg,6,6.171,0.6406,5,7.333
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.403,0.4628,4.526,6.333
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.323,1.106,0,4
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.6467,0.2907,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.525,0.3562,2,3
category+sub_network,SC_HighPressure_H2-optic-pi,rational,q_avg,3,4.569,1.228,2,7
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_a_2,3,1.376,1.092,0,4
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_b_3,3,0.666,0.2769,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_c_5,3,0.344,0.273,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_single,integer,exp_a_2,97,1.079,0.1038,0.8709,1.284
category+sub_network,SC_HighPressure_single,integer,exp_b_3,97,0.5174,0.07738,0.3711,0.6755
category+sub_network,SC_HighPressure_single,integer,exp_c_5,97,0.34,0.06239,0.2165,0.4639
category+sub_network,SC_HighPressure_single,integer,exp_d_7,97,0.08449,0.02794,0.03093,0.1443
category+sub_network,SC_HighPressure_single,rational,q_avg,116,5.917,0.1788,5.582,6.267
category+sub_network,SC_IronBased_pi,rational,q_avg,3,2.662,0.2902,2,3
category+sub_network,SC_IronBased_sigma,integer,exp_a_2,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,integer,exp_b_3,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_c_5,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_d_7,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,rational,q_avg,2,4.455,1.764,2,7
category+sub_network,SC_IronBased_sigma-vs-pi,rational,q_avg,2,1,0,1,1
category+sub_network,SC_IronBased_single,integer,exp_a_2,4,0.51,0.4358,0,1.5
category+sub_network,SC_IronBased_single,integer,exp_b_3,4,0.745,0.223,0.25,1
category+sub_network,SC_IronBased_single,integer,exp_c_5,4,0,0,0,0
category+sub_network,SC_IronBased_single,integer,exp_d_7,4,0.255,0.223,0,0.75
category+sub_network,SC_IronBased_single,rational,q_avg,32,4.818,0.3305,4.188,5.469
category+sub_network,SC_Molecular_single,rational,q_avg,12,5.144,0.5867,3.956,6.25
category+sub_network,SC_Oxide_single,rational,q_avg,18,4.938,0.4221,4.111,5.807
category+sub_network,SC_TypeI_single,integer,exp_a_2,27,1.548,0.2265,1.148,2.037
category+sub_network,SC_TypeI_single,integer,exp_b_3,27,0.8229,0.1836,0.4991,1.222
category+sub_network,SC_TypeI_single,integer,exp_c_5,27,0.5056,0.1427,0.2398,0.7972
category+sub_network,SC_TypeI_single,integer,exp_d_7,27,0.4069,0.11,0.2222,0.6296
category+sub_network,SC_TypeII_single,integer,exp_a_2,27,1.937,0.3236,1.277,2.63
category+sub_network,SC_TypeII_single,integer,exp_b_3,27,0.5962,0.1654,0.2963,0.9454
category+sub_network,SC_TypeII_single,integer,exp_c_5,27,0.5125,0.1583,0.2593,0.8519
category+sub_network,SC_TypeII_single,integer,exp_d_7,27,0.4036,0.1077,0.2222,0.6296
category+sub_network,Superfluid_0-bar,rational,q_avg,3,1.96,0.8139,1,4
category+sub_network,Superfluid_0-bar-vs-10-bar,rational,q_avg,2,4.577,2.469,1,8
category+sub_network,Superfluid_1-bar,rational,q_avg,3,1,0,1,1
category+sub_network,Superfluid_1-bar-vs-10-bar,rational,q_avg,2,1,0,1,1
category+sub_network,Superfluid_10-bar,rational,q_avg,6,2.148,0.6762,1,3.5
