category,sub_network,mean,std,count
SC_Binary,pi,-0.007194,0.01005,6
SC_Binary,sigma,-0.009391,0.0446,6
SC_Binary,sigma-vs-pi,-0.01185,0.01852,4
SC_Binary,single,-0.02601,0.05199,30
SC_HeavyFermion,single,-0.02338,0.03858,18
SC_HighPressure,H1-optic-sigma,-0.09441,0.08629,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001262,0.01207,3
SC_HighPressure,La-acous-sigma,-0.2901,0.6119,3
SC_HighPressure,single,-0.002761,0.03951,213
SC_IronBased,pi,-0.004972,0.03713,3
SC_IronBased,sigma,-0.03063,0.0179,3
SC_IronBased,sigma-vs-pi,0,0,2
SC_IronBased,single,-0.00308,0.02048,36
SC_Molecular,single,-0.003501,0.01851,12
SC_Oxide,single,-0.02544,0.05902,18
SC_TypeI,single,-0.04698,0.0753,27
SC_TypeII,single,-0.09131,0.1192,27
Superfluid,0-bar,-0.2266,0.1226,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.005058,0.004975,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.1003,0.1278,6
