category,sub_network,mean,std,count
SC_Binary,pi,-0.007037,0.01007,6
SC_Binary,sigma,-0.009229,0.04458,6
SC_Binary,sigma-vs-pi,-0.01185,0.01852,4
SC_Binary,single,-0.02563,0.0517,30
SC_HeavyFermion,single,-0.02149,0.03765,18
SC_HighPressure,H1-optic-sigma,-0.09439,0.08628,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.0013,0.01209,3
SC_HighPressure,La-acous-sigma,-0.2901,0.6119,3
SC_HighPressure,single,-0.002707,0.0395,213
SC_IronBased,pi,-0.00478,0.03722,3
SC_IronBased,sigma,-0.03043,0.01791,3
SC_IronBased,sigma-vs-pi,0,0,2
SC_IronBased,single,-0.003009,0.02049,36
SC_Molecular,single,-0.003168,0.01798,12
SC_Oxide,single,-0.0239,0.05527,18
SC_TypeI,single,-0.04595,0.07449,27
SC_TypeII,single,-0.08753,0.1139,27
Superfluid,0-bar,-0.2108,0.1131,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.005032,0.004966,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.09346,0.1188,6
