category,sub_network,mean,std,count
SC_Binary,band1,-0.002996,0.01273,6
SC_Binary,band1-vs-band2,0.0004109,0.0008218,4
SC_Binary,band2,-0.003688,0.01274,6
SC_Binary,gap1,0.03546,0.08213,6
SC_Binary,gap1-vs-gap2,0,0,4
SC_Binary,gap2,-0.1246,0.3052,6
SC_Binary,pi,-0.00337,0.009865,9
SC_Binary,sigma,-0.008466,0.0354,9
SC_Binary,sigma-vs-pi,0.003057,0.02899,6
SC_Binary,single,-0.08931,0.2334,174
SC_HeavyFermion,single,-0.01673,0.03539,18
SC_HighPressure,H1-optic-sigma,-0.09432,0.08625,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001397,0.01214,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.003492,0.03826,240
SC_IronBased,electron-band,-0.004623,0.01889,27
SC_IronBased,gap1,-0.003963,0.01678,3
SC_IronBased,gap2,0.009646,0.01609,3
SC_IronBased,hole-band,-0.00478,0.01465,27
SC_IronBased,hole-band-vs-electron-band,0.0003548,0.005507,18
SC_IronBased,pi,-0.004294,0.03746,3
SC_IronBased,sigma,-0.02995,0.01795,3
SC_IronBased,single,-0.002827,0.0205,36
SC_Molecular,single,-0.006097,0.01443,30
SC_Oxide,single,-0.01002,0.03153,42
SC_TypeI,gap1,-0.007289,0.005374,3
SC_TypeI,gap1-vs-gap2,-0.01489,0.02105,2
SC_TypeI,gap2,0.0021,0.01638,3
SC_TypeI,single,-0.04335,0.07254,27
SC_TypeII,single,-0.1812,0.3846,54
Superfluid,0-bar,-0.1721,0.09041,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004965,0.004945,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.07666,0.09678,6
