category,sub_network,mean,std,count
SC_Binary,pi,-0.006452,0.01013,6
SC_Binary,sigma,-0.008624,0.04446,6
SC_Binary,sigma-vs-pi,-0.01185,0.01852,4
SC_Binary,single,-0.02419,0.05065,30
SC_HeavyFermion,single,-0.01446,0.03437,18
SC_HighPressure,H1-optic-sigma,-0.09429,0.08623,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001443,0.01216,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.002509,0.03945,213
SC_IronBased,pi,-0.004062,0.03758,3
SC_IronBased,sigma,-0.02972,0.01797,3
SC_IronBased,sigma-vs-pi,0,0,2
SC_IronBased,single,-0.00274,0.0205,36
SC_Molecular,single,-0.001932,0.01608,12
SC_Oxide,single,-0.01829,0.04168,18
SC_TypeI,single,-0.04211,0.07165,27
SC_TypeII,single,-0.0738,0.09552,27
Superfluid,0-bar,-0.1543,0.08016,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004933,0.004935,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.06886,0.08663,6
