name,sum_err_before,sum_err_after_full
(La0.5Y0.5)H8,0.0272451,0.0271879
(LaY)H10,0.0237668,0.0243367
(LaY)H4,0.0333082,0.0316847
(LaY)H6,0.0256708,0.0263199
(TMTSF)2PF6 (under P),0.0236002,0.0590365
AcH10,0.077296,0.0773282
Al,0.179915,0.195031
AlH3,0.167569,0.168331
B2H6,0.0255203,0.0255331
BH,0.0844161,0.0877149
Ba(Fe0.8Co0.2)2As2,0.0269025,0.0269233
Ba(Fe0.9Co0.1)2As2,0.0258824,0.0266269
Ba0.6K0.4BiO3,0.013534,0.0135438
Ba0.6K0.4Fe2As2,0.0256099,0.025623
BaH12,0.0227421,0.0227546
BaH6,0.144734,0.145599
BaPb0.75Bi0.25O3,0.0158083,0.0173165
Bi2Sr2CaCu2O8 (Bi-2212),0.0337739,0.0346304
CH4-H2 (clathrate),0.0199471,0.0207357
CaC6,0.148023,0.153357
CaH10,0.186687,0.187399
CaH6,0.169051,0.169102
Cd,0.188512,0.221825
CeCoIn5,0.0986334,0.105456
CeCu2Si2,0.0676474,0.0831112
CeH10,0.0441198,0.04506
CeH9,0.0283818,0.0283997
Cs3C60,0.0128765,0.0123019
FeH5,0.0246833,0.0224246
FeSe (monolayer on STO),0.0608014,0.0616522
FeSe0.5Te0.5,0.0428857,0.0408113
FeSe0.7Te0.3,0.0663059,0.0671165
FeSe1-xSx (x=0.17),0.105218,0.108526
GaH3,0.161898,0.163686
GdH9,0.0196273,0.0196404
H3S,0.0237982,0.0242153
H6SBr,0.0364436,0.0364661
H6SCl,0.0385006,0.0371872
Hf,0.142871,0.582954
HfH10,0.190746,0.191108
Hg,0.11075,0.110933
In,0.123023,0.128255
InH3,0.182885,0.183804
InH5,0.0291515,0.0309726
K3C60,0.0387285,0.0374805
La,0.174804,0.1771
La2-xSrxCuO4 (LSCO x~0.15),0.0203603,0.0209737
LaBeH8,0.0390471,0.0397656
LaCeH18,0.0301794,0.0305506
LaH10,0.32612,0.326234
LaH8,0.0125295,0.0135425
LaO0.9F0.1FeAs,0.0304992,0.0291552
LaSc2H24,0.0413704,0.0418417
LaSr2H18,0.0510594,0.0510826
LaSr3H24,0.0478507,0.046751
LaSrH12,0.024636,0.0246495
LaSrH21,0.0325593,0.0325736
LaThH12,0.0556508,0.0553162
LaYH20,0.0237668,0.0243367
Li2MgH16,0.0511379,0.0515383
LiFeAs,0.00856246,0.00761705
LuH3,0.0974193,0.10487
MgCNi3,0.0104219,0.0160328
MgH12,0.0405104,0.0405275
MgH6,0.0366922,0.037257
Mo,0.15637,0.23381
Mo3Si,0.19438,0.236533
MoH11,0.0107948,0.0103918
Nb,0.0496147,0.049737
Nb3Al,0.104035,0.104168
Nb3Ge,0.0328651,0.0328994
Nb3Sn,0.0208529,0.0235138
NbN,0.199938,0.200311
NdFeAsO0.9F0.1,0.0189106,0.0192595
NdH9,0.0387285,0.0373244
Pb,0.128457,0.128611
PbMo6S8,0.0210165,0.020132
PrFeAsO0.9F0.1,0.0189106,0.0192595
PrH10,0.027036,0.0257356
PrH9,0.03659,0.0361033
Rb3C60,0.0112685,0.0115211
Re,0.0548446,0.103024
SH3 (Cmca),0.0282012,0.0291411
ScH12,0.0805425,0.0805806
ScH3,0.133183,0.136097
ScH6,0.138817,0.138924
ScZrH12,0.0466164,0.0466385
Si2H6,0.0128418,0.0113049
SmFeAsO0.9F0.1,0.0181504,0.0173311
SmH9,0.019802,0.0187978
Sn,0.139075,0.139766
SrH10,0.0260437,0.0266115
SrH22,0.00373103,0.00317671
SrH6,0.098843,0.100089
SrTiO3-doped,0.00887321,0.247746
Ta,0.119282,0.123349
TaH6,0.0216708,0.0200901
TbH9,0.0385913,0.0374802
Th4H15,0.0129522,0.011309
ThH10,0.045824,0.0462198
ThH9,0.0272527,0.0268665
Ti,0.157986,0.372994
TiN,0.0500795,0.0626006
Tl,0.201521,0.207324
UBe13,0.0218189,0.0692188
UH7,0.0258025,0.0234212
UPd2Al3,0.0430241,0.0626583
UPt3,0.0465541,0.13006
URu2Si2,0.0414084,0.0718143
V,0.134119,0.148405
V3Si,0.18644,0.1881
VH8,0.0105342,0.00924189
Y3LuH24,0.0541256,0.0543988
YBa2Cu3O7 (YBCO),0.0196892,0.0191156
YCaH18,0.0574607,0.0574839
YH10,0.0694099,0.0699104
YH4,0.101461,0.103276
YH6,0.210851,0.210911
YH9,0.177228,0.177566
YHfH12,0.0461789,0.0450791
YLu3H24,0.0341615,0.0344274
YLuH12,0.0442755,0.0450708
YThH12,0.0207434,0.0207521
Zn,0.130591,0.203327
Zr,0.188197,0.290776
ZrH10,0.217576,0.218583
ZrN,0.0491601,0.0493603
