family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_pi,integer,exp_a_2,4,1.25,0.6263,0,2.5
category+sub_network,SC_Binary_pi,integer,exp_b_3,4,0.746,0.4234,0,1.5
category+sub_network,SC_Binary_pi,integer,exp_c_5,4,0.253,0.2208,0,0.75
category+sub_network,SC_Binary_pi,integer,exp_d_7,4,0.518,0.2463,0,1
category+sub_network,SC_Binary_pi,rational,q_avg,2,5.992,0.6928,5,7
category+sub_network,SC_Binary_sigma,integer,exp_a_2,6,0.8523,0.2878,0.3333,1.421
category+sub_network,SC_Binary_sigma,integer,exp_b_3,6,0.647,0.2965,0.1667,1.333
category+sub_network,SC_Binary_sigma,integer,exp_c_5,6,0.4827,0.2045,0.07917,0.8333
category+sub_network,SC_Binary_sigma,integer,exp_d_7,6,0.3277,0.1927,0,0.6667
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,4,6.425,1.317,4.5,8
category+sub_network,SC_Binary_single,integer,exp_a_2,24,1.276,0.2819,0.7917,1.875
category+sub_network,SC_Binary_single,integer,exp_b_3,24,0.5756,0.1856,0.25,0.9583
category+sub_network,SC_Binary_single,integer,exp_c_5,24,0.3322,0.09856,0.1667,0.5417
category+sub_network,SC_Binary_single,integer,exp_d_7,24,0.4565,0.1343,0.2083,0.7083
category+sub_network,SC_Binary_single,rational,q_avg,6,6.181,0.6438,4.912,7.333
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.396,0.4721,4.5,6.333
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.357,1.061,0,4
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.6647,0.2671,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.504,0.3507,2,3
category+sub_network,SC_HighPressure_H2-optic-pi,rational,q_avg,3,4.678,1.154,2,7
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_a_2,3,1.299,1.074,0,4
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_b_3,3,0.6427,0.281,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_c_5,3,0.3247,0.2686,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_single,integer,exp_a_2,97,1.085,0.1012,0.8915,1.284
category+sub_network,SC_HighPressure_single,integer,exp_b_3,97,0.5167,0.08339,0.3711,0.6907
category+sub_network,SC_HighPressure_single,integer,exp_c_5,97,0.3431,0.05787,0.2371,0.4639
category+sub_network,SC_HighPressure_single,integer,exp_d_7,97,0.0827,0.02859,0.03093,0.1443
category+sub_network,SC_HighPressure_single,rational,q_avg,116,5.899,0.2003,5.495,6.315
category+sub_network,SC_IronBased_pi,rational,q_avg,3,2.697,0.2543,2.333,3
category+sub_network,SC_IronBased_sigma,integer,exp_a_2,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,integer,exp_b_3,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_c_5,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_d_7,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,rational,q_avg,2,4.545,1.771,2,7
category+sub_network,SC_IronBased_sigma-vs-pi,rational,q_avg,2,1,0,1,1
category+sub_network,SC_IronBased_single,integer,exp_a_2,4,0.52,0.4389,0,1.5
category+sub_network,SC_IronBased_single,integer,exp_b_3,4,0.749,0.2242,0.25,1
category+sub_network,SC_IronBased_single,integer,exp_c_5,4,0,0,0,0
category+sub_network,SC_IronBased_single,integer,exp_d_7,4,0.251,0.2242,0,0.75
category+sub_network,SC_IronBased_single,rational,q_avg,32,4.786,0.332,4.171,5.438
category+sub_network,SC_Molecular_single,rational,q_avg,12,5.158,0.5854,3.917,6.294
category+sub_network,SC_Oxide_single,rational,q_avg,18,4.964,0.4147,4.138,5.778
category+sub_network,SC_TypeI_single,integer,exp_a_2,27,1.557,0.2221,1.148,2.037
category+sub_network,SC_TypeI_single,integer,exp_b_3,27,0.8076,0.1726,0.5185,1.148
category+sub_network,SC_TypeI_single,integer,exp_c_5,27,0.5148,0.142,0.2593,0.7778
category+sub_network,SC_TypeI_single,integer,exp_d_7,27,0.411,0.1112,0.1852,0.6296
category+sub_network,SC_TypeII_single,integer,exp_a_2,27,1.906,0.3351,1.259,2.593
category+sub_network,SC_TypeII_single,integer,exp_b_3,27,0.5908,0.1723,0.2963,0.9454
category+sub_network,SC_TypeII_single,integer,exp_c_5,27,0.5185,0.1513,0.2222,0.8148
category+sub_network,SC_TypeII_single,integer,exp_d_7,27,0.4011,0.11,0.1852,0.6296
category+sub_network,Superfluid_0-bar,rational,q_avg,3,1.998,0.8402,1,4
category+sub_network,Superfluid_0-bar-vs-10-bar,rational,q_avg,2,4.556,2.571,1,8
category+sub_network,Superfluid_1-bar,rational,q_avg,3,1,0,1,1
category+sub_network,Superfluid_1-bar-vs-10-bar,rational,q_avg,2,1,0,1,1
category+sub_network,Superfluid_10-bar,rational,q_avg,6,2.169,0.6915,1,3.667
