category,sub_network,mean,std,count
SC_Binary,pi,-0.00649,0.01012,6
SC_Binary,sigma,-0.008663,0.04447,6
SC_Binary,sigma-vs-pi,-0.01185,0.01852,4
SC_Binary,single,-0.02429,0.05071,30
SC_HeavyFermion,single,-0.01493,0.03458,18
SC_HighPressure,H1-optic-sigma,-0.0943,0.08624,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001435,0.01216,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.002522,0.03945,213
SC_IronBased,pi,-0.00411,0.03756,3
SC_IronBased,sigma,-0.02976,0.01797,3
SC_IronBased,sigma-vs-pi,0,0,2
SC_IronBased,single,-0.002758,0.0205,36
SC_Molecular,single,-0.002015,0.0162,12
SC_Oxide,single,-0.01866,0.04257,18
SC_TypeI,single,-0.04236,0.07183,27
SC_TypeII,single,-0.0747,0.09668,27
Superfluid,0-bar,-0.158,0.08226,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.00494,0.004937,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.07047,0.08872,6
