name,sum_err_before,sum_err_after_full
(La0.5Y0.5)H8,0.0272451,0.027192
(LaY)H10,0.0237668,0.0244917
(LaY)H4,0.0333082,0.0312428
(LaY)H6,0.0256708,0.0264965
(TMTSF)2PF6 (under P),0.0236002,0.0688408
AcH10,0.077296,0.077337
Al,0.179915,0.213364
AlH3,0.167569,0.168538
B2H6,0.0255203,0.0255366
BH,0.0844161,0.0886133
Ba(Fe0.8Co0.2)2As2,0.0269025,0.0269288
Ba(Fe0.9Co0.1)2As2,0.0258824,0.0268297
Ba0.6K0.4BiO3,0.013534,0.0135466
Ba0.6K0.4Fe2As2,0.0256099,0.0256265
BaH12,0.0227421,0.022758
BaH6,0.144734,0.145834
BaPb0.75Bi0.25O3,0.0158083,0.0177277
Bi2Sr2CaCu2O8 (Bi-2212),0.0337739,0.0348634
CH4-H2 (clathrate),0.0199471,0.0209503
CaC6,0.148023,0.154811
CaH10,0.186687,0.187593
CaH6,0.169051,0.169116
Cd,0.188512,0.245605
CeCoIn5,0.0986334,0.109416
CeCu2Si2,0.0676474,0.094783
CeH10,0.0441198,0.0453159
CeH9,0.0283818,0.0284045
Cs3C60,0.0128765,0.0121456
FeH5,0.0246833,0.0218097
FeSe (monolayer on STO),0.0608014,0.0618836
FeSe0.5Te0.5,0.0428857,0.0402461
FeSe0.7Te0.3,0.0663059,0.0673372
FeSe1-xSx (x=0.17),0.105218,0.109428
GaH3,0.161898,0.164173
GdH9,0.0196273,0.0196438
H3S,0.0237982,0.0243288
H6SBr,0.0364436,0.0364721
H6SCl,0.0385006,0.0368299
Hf,0.142871,0.729622
HfH10,0.190746,0.191206
Hg,0.11075,0.110982
In,0.123023,0.129684
InH3,0.182885,0.184054
InH5,0.0291515,0.0314687
K3C60,0.0387285,0.0371409
La,0.174804,0.177727
La2-xSrxCuO4 (LSCO x~0.15),0.0203603,0.0211407
LaBeH8,0.0390471,0.0399612
LaCeH18,0.0301794,0.0306516
LaH10,0.32612,0.326265
LaH8,0.0125295,0.0138182
LaO0.9F0.1FeAs,0.0304992,0.0287892
LaSc2H24,0.0413704,0.0419699
LaSr2H18,0.0510594,0.051089
LaSr3H24,0.0478507,0.0464518
LaSrH12,0.024636,0.0246532
LaSrH21,0.0325593,0.0325775
LaThH12,0.0556508,0.0552252
LaYH20,0.0237668,0.0244917
Li2MgH16,0.0511379,0.0516472
LiFeAs,0.00856246,0.00735951
LuH3,0.0974193,0.10691
MgCNi3,0.0104219,0.0175666
MgH12,0.0405104,0.0405322
MgH6,0.0366922,0.0374107
Mo,0.15637,0.26329
Mo3Si,0.19438,0.250638
MoH11,0.0107948,0.0102821
Nb,0.0496147,0.0497716
Nb3Al,0.104035,0.104204
Nb3Ge,0.0328651,0.0329089
Nb3Sn,0.0208529,0.0242382
NbN,0.199938,0.200414
NdFeAsO0.9F0.1,0.0189106,0.0193545
NdH9,0.0387285,0.0369423
Pb,0.128457,0.128653
PbMo6S8,0.0210165,0.0198911
PrFeAsO0.9F0.1,0.0189106,0.0193545
PrH10,0.027036,0.0253817
PrH9,0.03659,0.0359708
Rb3C60,0.0112685,0.0115898
Re,0.0548446,0.116563
SH3 (Cmca),0.0282012,0.0293968
ScH12,0.0805425,0.080591
ScH3,0.133183,0.136893
ScH6,0.138817,0.138954
ScZrH12,0.0466164,0.0466445
Si2H6,0.0128418,0.0108867
SmFeAsO0.9F0.1,0.0181504,0.0171082
SmH9,0.019802,0.0185244
Sn,0.139075,0.13996
SrH10,0.0260437,0.026766
SrH22,0.00373103,0.00302582
SrH6,0.098843,0.100428
SrTiO3-doped,0.00887321,0.320725
Ta,0.119282,0.124462
TaH6,0.0216708,0.0196599
TbH9,0.0385913,0.0371777
Th4H15,0.0129522,0.0108618
ThH10,0.045824,0.0463275
ThH9,0.0272527,0.0267615
Ti,0.157986,0.443616
TiN,0.0500795,0.0693145
Tl,0.201521,0.208909
UBe13,0.0218189,0.0919464
UH7,0.0258025,0.022773
UPd2Al3,0.0430241,0.0680951
UPt3,0.0465541,0.153706
URu2Si2,0.0414084,0.0803178
V,0.134119,0.152315
V3Si,0.18644,0.188552
VH8,0.0105342,0.00889027
Y3LuH24,0.0541256,0.0544732
YBa2Cu3O7 (YBCO),0.0196892,0.0189596
YCaH18,0.0574607,0.0574902
YH10,0.0694099,0.0700466
YH4,0.101461,0.10377
YH6,0.210851,0.210927
YH9,0.177228,0.177658
YHfH12,0.0461789,0.0447799
YLu3H24,0.0341615,0.0344998
YLuH12,0.0442755,0.0452871
YThH12,0.0207434,0.0207953
Zn,0.130591,0.225962
Zr,0.188197,0.32002
ZrH10,0.217576,0.218856
ZrN,0.0491601,0.0494194
