family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_pi,integer,exp_a_2,4,1.228,0.6558,0,2.5
category+sub_network,SC_Binary_pi,integer,exp_b_3,4,0.7565,0.4069,0,1.5
category+sub_network,SC_Binary_pi,integer,exp_c_5,4,0.2525,0.2153,0,0.75
category+sub_network,SC_Binary_pi,integer,exp_d_7,4,0.489,0.2537,0,1
category+sub_network,SC_Binary_pi,rational,q_avg,2,6.022,0.6997,5,7
category+sub_network,SC_Binary_sigma,integer,exp_a_2,6,0.7953,0.2791,0.3333,1.333
category+sub_network,SC_Binary_sigma,integer,exp_b_3,6,0.6613,0.3139,0.1667,1.333
category+sub_network,SC_Binary_sigma,integer,exp_c_5,6,0.5197,0.2014,0.1667,0.8333
category+sub_network,SC_Binary_sigma,integer,exp_d_7,6,0.312,0.1963,0,0.8333
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,4,6.222,1.501,2.75,8
category+sub_network,SC_Binary_single,integer,exp_a_2,24,1.283,0.2654,0.8115,1.833
category+sub_network,SC_Binary_single,integer,exp_b_3,24,0.5976,0.192,0.2917,1
category+sub_network,SC_Binary_single,integer,exp_c_5,24,0.3336,0.09326,0.1667,0.5417
category+sub_network,SC_Binary_single,integer,exp_d_7,24,0.4535,0.1291,0.2083,0.7083
category+sub_network,SC_Binary_single,rational,q_avg,6,6.213,0.6484,5,7.5
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.39,0.4801,4.5,6.333
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.379,1.16,0,4
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.6647,0.272,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.489,0.3597,2,3
category+sub_network,SC_HighPressure_H2-optic-pi,rational,q_avg,3,4.662,1.205,2,7
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_a_2,3,1.315,1.107,0,4
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_b_3,3,0.6527,0.27,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_c_5,3,0.3287,0.2768,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_single,integer,exp_a_2,97,1.081,0.1074,0.8812,1.289
category+sub_network,SC_HighPressure_single,integer,exp_b_3,97,0.5223,0.08288,0.3711,0.6755
category+sub_network,SC_HighPressure_single,integer,exp_c_5,97,0.3445,0.05784,0.2268,0.4639
category+sub_network,SC_HighPressure_single,integer,exp_d_7,97,0.08239,0.02795,0.03093,0.1443
category+sub_network,SC_HighPressure_single,rational,q_avg,116,5.899,0.1917,5.512,6.284
category+sub_network,SC_IronBased_pi,rational,q_avg,3,2.644,0.2804,2,3
category+sub_network,SC_IronBased_sigma,integer,exp_a_2,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,integer,exp_b_3,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_c_5,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_d_7,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,rational,q_avg,2,4.555,1.756,2,7
category+sub_network,SC_IronBased_sigma-vs-pi,rational,q_avg,2,1,0,1,1
category+sub_network,SC_IronBased_single,integer,exp_a_2,4,0.503,0.4272,0,1.5
category+sub_network,SC_IronBased_single,integer,exp_b_3,4,0.7505,0.2142,0.25,1
category+sub_network,SC_IronBased_single,integer,exp_c_5,4,0,0,0,0
category+sub_network,SC_IronBased_single,integer,exp_d_7,4,0.2495,0.2142,0,0.75
category+sub_network,SC_IronBased_single,rational,q_avg,32,4.777,0.3296,4.156,5.423
category+sub_network,SC_Molecular_single,rational,q_avg,12,5.203,0.64,3.873,6.46
category+sub_network,SC_Oxide_single,rational,q_avg,18,4.958,0.4282,4.111,5.833
category+sub_network,SC_TypeI_single,integer,exp_a_2,27,1.565,0.231,1.111,2.037
category+sub_network,SC_TypeI_single,integer,exp_b_3,27,0.8184,0.177,0.4815,1.168
category+sub_network,SC_TypeI_single,integer,exp_c_5,27,0.5147,0.1432,0.2593,0.8148
category+sub_network,SC_TypeI_single,integer,exp_d_7,27,0.4174,0.1071,0.2222,0.6296
category+sub_network,SC_TypeII_single,integer,exp_a_2,27,1.938,0.3253,1.314,2.575
category+sub_network,SC_TypeII_single,integer,exp_b_3,27,0.5983,0.1733,0.3333,0.9454
category+sub_network,SC_TypeII_single,integer,exp_c_5,27,0.522,0.145,0.2593,0.8519
category+sub_network,SC_TypeII_single,integer,exp_d_7,27,0.4148,0.109,0.2222,0.6667
category+sub_network,Superfluid_0-bar,rational,q_avg,3,1.964,0.8067,1,4
category+sub_network,Superfluid_0-bar-vs-10-bar,rational,q_avg,2,4.535,2.509,1,8
category+sub_network,Superfluid_1-bar,rational,q_avg,3,1,0,1,1
category+sub_network,Superfluid_1-bar-vs-10-bar,rational,q_avg,2,1,0,1,1
category+sub_network,Superfluid_10-bar,rational,q_avg,6,2.147,0.6891,1,3.5
