category,sub_network,mean,std,count
SC_Binary,band1,-0.002855,0.01272,6
SC_Binary,band1-vs-band2,0.0004109,0.0008218,4
SC_Binary,band2,-0.003538,0.01274,6
SC_Binary,gap1,0.03569,0.08203,6
SC_Binary,gap1-vs-gap2,0,0,4
SC_Binary,gap2,-0.1244,0.3052,6
SC_Binary,pi,-0.003317,0.009865,9
SC_Binary,sigma,-0.008411,0.03539,9
SC_Binary,sigma-vs-pi,0.003057,0.02899,6
SC_Binary,single,-0.08624,0.2239,174
SC_HeavyFermion,single,-0.016,0.03506,18
SC_HighPressure,H1-optic-sigma,-0.09431,0.08624,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001413,0.01215,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.00347,0.03825,240
SC_IronBased,electron-band,-0.004592,0.0189,27
SC_IronBased,gap1,-0.003941,0.01677,3
SC_IronBased,gap2,0.009666,0.0161,3
SC_IronBased,hole-band,-0.004748,0.01465,27
SC_IronBased,hole-band-vs-electron-band,0.0003548,0.005507,18
SC_IronBased,pi,-0.004219,0.0375,3
SC_IronBased,sigma,-0.02987,0.01796,3
SC_IronBased,single,-0.0028,0.0205,36
SC_Molecular,single,-0.005932,0.01428,30
SC_Oxide,single,-0.009759,0.03061,42
SC_TypeI,gap1,-0.006977,0.005249,3
SC_TypeI,gap1-vs-gap2,-0.01489,0.02105,2
SC_TypeI,gap2,0.002414,0.01647,3
SC_TypeI,single,-0.04295,0.07225,27
SC_TypeII,single,-0.179,0.3836,54
Superfluid,0-bar,-0.1664,0.08709,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004955,0.004942,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.07414,0.0935,6
