family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_pi,integer,exp_a_2,4,1.243,0.6416,0,2.5
category+sub_network,SC_Binary_pi,integer,exp_b_3,4,0.754,0.4126,0,1.5
category+sub_network,SC_Binary_pi,integer,exp_c_5,4,0.2545,0.2147,0,0.75
category+sub_network,SC_Binary_pi,integer,exp_d_7,4,0.5085,0.2506,0,1
category+sub_network,SC_Binary_pi,rational,q_avg,2,5.96,0.7088,5,7
category+sub_network,SC_Binary_sigma,integer,exp_a_2,6,0.8387,0.2873,0.3333,1.333
category+sub_network,SC_Binary_sigma,integer,exp_b_3,6,0.6787,0.3062,0.1667,1.333
category+sub_network,SC_Binary_sigma,integer,exp_c_5,6,0.481,0.2066,0.1667,0.8333
category+sub_network,SC_Binary_sigma,integer,exp_d_7,6,0.3447,0.1923,0,0.6667
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,4,6.288,1.457,2.75,8
category+sub_network,SC_Binary_single,integer,exp_a_2,24,1.285,0.2853,0.75,1.855
category+sub_network,SC_Binary_single,integer,exp_b_3,24,0.5828,0.1859,0.2917,0.9583
category+sub_network,SC_Binary_single,integer,exp_c_5,24,0.3288,0.09843,0.1667,0.5417
category+sub_network,SC_Binary_single,integer,exp_d_7,24,0.4526,0.1309,0.2083,0.75
category+sub_network,SC_Binary_single,rational,q_avg,6,6.129,0.6561,4.667,7.333
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.388,0.5088,4.333,6.333
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.24,1.037,0,2.667
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.6547,0.2681,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.547,0.3381,2,3
category+sub_network,SC_HighPressure_H2-optic-pi,rational,q_avg,3,4.589,1.203,2,6.683
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_a_2,3,1.301,1.056,0,3.367
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_b_3,3,0.6807,0.2717,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_c_5,3,0.3253,0.264,0,0.8417
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_single,integer,exp_a_2,97,1.072,0.1004,0.8969,1.273
category+sub_network,SC_HighPressure_single,integer,exp_b_3,97,0.5149,0.07894,0.3657,0.6652
category+sub_network,SC_HighPressure_single,integer,exp_c_5,97,0.3458,0.06597,0.2214,0.4796
category+sub_network,SC_HighPressure_single,integer,exp_d_7,97,0.08278,0.02865,0.03093,0.1443
category+sub_network,SC_HighPressure_single,rational,q_avg,116,5.901,0.1876,5.509,6.255
category+sub_network,SC_IronBased_pi,rational,q_avg,3,2.677,0.2623,2.333,3
category+sub_network,SC_IronBased_sigma,integer,exp_a_2,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,integer,exp_b_3,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_c_5,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_d_7,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,rational,q_avg,2,4.645,1.814,2,7
category+sub_network,SC_IronBased_sigma-vs-pi,rational,q_avg,2,1,0,1,1
category+sub_network,SC_IronBased_single,integer,exp_a_2,4,0.473,0.4275,0,1.5
category+sub_network,SC_IronBased_single,integer,exp_b_3,4,0.741,0.2166,0.25,1
category+sub_network,SC_IronBased_single,integer,exp_c_5,4,0,0,0,0
category+sub_network,SC_IronBased_single,integer,exp_d_7,4,0.259,0.2166,0,0.75
category+sub_network,SC_IronBased_single,rational,q_avg,32,4.85,0.3285,4.265,5.531
category+sub_network,SC_Molecular_single,rational,q_avg,12,5.176,0.6147,3.917,6.333
category+sub_network,SC_Oxide_single,rational,q_avg,18,4.961,0.4174,4.167,5.778
category+sub_network,SC_TypeI_single,integer,exp_a_2,27,1.563,0.2216,1.129,1.982
category+sub_network,SC_TypeI_single,integer,exp_b_3,27,0.8293,0.1737,0.5185,1.185
category+sub_network,SC_TypeI_single,integer,exp_c_5,27,0.5295,0.1489,0.2593,0.8148
category+sub_network,SC_TypeI_single,integer,exp_d_7,27,0.4081,0.1093,0.2222,0.6296
category+sub_network,SC_TypeII_single,integer,exp_a_2,27,1.915,0.3303,1.296,2.612
category+sub_network,SC_TypeII_single,integer,exp_b_3,27,0.5853,0.1668,0.2963,0.9454
category+sub_network,SC_TypeII_single,integer,exp_c_5,27,0.5179,0.1519,0.2222,0.8519
category+sub_network,SC_TypeII_single,integer,exp_d_7,27,0.4047,0.1092,0.2222,0.6296
category+sub_network,Superfluid_0-bar,rational,q_avg,3,1.998,0.8185,1,4
category+sub_network,Superfluid_0-bar-vs-10-bar,rational,q_avg,2,4.43,2.542,1,8
category+sub_network,Superfluid_1-bar,rational,q_avg,3,1,0,1,1
category+sub_network,Superfluid_1-bar-vs-10-bar,rational,q_avg,2,1,0,1,1
category+sub_network,Superfluid_10-bar,rational,q_avg,6,2.145,0.6737,1,3.5
