category,sub_network,mean,std,count
SC_Binary,pi,-0.006469,0.01012,6
SC_Binary,sigma,-0.008642,0.04447,6
SC_Binary,sigma-vs-pi,-0.01185,0.01852,4
SC_Binary,single,-0.02424,0.05068,30
SC_HeavyFermion,single,-0.01468,0.03447,18
SC_HighPressure,H1-optic-sigma,-0.09429,0.08623,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001438,0.01216,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.002515,0.03945,213
SC_IronBased,pi,-0.004083,0.03757,3
SC_IronBased,sigma,-0.02974,0.01797,3
SC_IronBased,sigma-vs-pi,0,0,2
SC_IronBased,single,-0.002749,0.0205,36
SC_Molecular,single,-0.00197,0.01613,12
SC_Oxide,single,-0.01846,0.04208,18
SC_TypeI,single,-0.04222,0.07173,27
SC_TypeII,single,-0.07421,0.09605,27
Superfluid,0-bar,-0.156,0.08112,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004937,0.004936,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.06959,0.08758,6
