category,sub_network,mean,std,count
SC_Binary,band1,-0.0002628,0.01249,6
SC_Binary,band1-vs-band2,0.0004109,0.0008218,4
SC_Binary,band2,-0.0007759,0.01266,6
SC_Binary,gap1,0.03989,0.08027,6
SC_Binary,gap1-vs-gap2,0,0,4
SC_Binary,gap2,-0.1202,0.3065,6
SC_Binary,pi,-0.002371,0.009863,9
SC_Binary,sigma,-0.00743,0.0352,9
SC_Binary,sigma-vs-pi,0.003057,0.02899,6
SC_Binary,single,-0.05286,0.1616,174
SC_HeavyFermion,single,-0.002886,0.0298,18
SC_HighPressure,H1-optic-sigma,-0.09413,0.08615,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001685,0.01228,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.003068,0.03816,240
SC_IronBased,electron-band,-0.004014,0.01898,27
SC_IronBased,gap1,-0.003565,0.0167,3
SC_IronBased,gap2,0.01004,0.01629,3
SC_IronBased,hole-band,-0.004171,0.01452,27
SC_IronBased,hole-band-vs-electron-band,0.0003548,0.005507,18
SC_IronBased,pi,-0.002862,0.03818,3
SC_IronBased,sigma,-0.02852,0.01808,3
SC_IronBased,single,-0.002294,0.02053,36
SC_Molecular,single,-0.002941,0.01181,30
SC_Oxide,single,-0.005124,0.01515,42
SC_TypeI,gap1,-0.001351,0.00339,3
SC_TypeI,gap1-vs-gap2,-0.01489,0.02105,2
SC_TypeI,gap2,0.008039,0.01843,3
SC_TypeI,single,-0.03577,0.06756,27
SC_TypeII,single,-0.1426,0.3761,54
Superfluid,0-bar,-0.06776,0.0326,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004769,0.004882,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.03075,0.03759,6
