category,sub_network,mean,std,count
SC_Binary,band1,-0.0001592,0.01248,6
SC_Binary,band1-vs-band2,0.0004109,0.0008218,4
SC_Binary,band2,-0.0006655,0.01266,6
SC_Binary,gap1,0.04005,0.0802,6
SC_Binary,gap1-vs-gap2,0,0,4
SC_Binary,gap2,-0.1201,0.3066,6
SC_Binary,pi,-0.002333,0.009863,9
SC_Binary,sigma,-0.007391,0.0352,9
SC_Binary,sigma-vs-pi,0.003057,0.02899,6
SC_Binary,single,-0.05305,0.1702,174
SC_HeavyFermion,single,-0.002367,0.02963,18
SC_HighPressure,H1-optic-sigma,-0.09413,0.08615,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001696,0.01229,3
SC_HighPressure,La-acous-sigma,-0.29,0.6119,3
SC_HighPressure,single,-0.003052,0.03816,240
SC_IronBased,electron-band,-0.003991,0.01899,27
SC_IronBased,gap1,-0.00355,0.01669,3
SC_IronBased,gap2,0.01006,0.0163,3
SC_IronBased,hole-band,-0.004148,0.01452,27
SC_IronBased,hole-band-vs-electron-band,0.0003548,0.005507,18
SC_IronBased,pi,-0.002808,0.03821,3
SC_IronBased,sigma,-0.02846,0.01808,3
SC_IronBased,single,-0.002273,0.02053,36
SC_Molecular,single,-0.002822,0.01173,30
SC_Oxide,single,-0.004945,0.01461,42
SC_TypeI,gap1,-0.001128,0.003342,3
SC_TypeI,gap1-vs-gap2,-0.01489,0.02105,2
SC_TypeI,gap2,0.008264,0.01851,3
SC_TypeI,single,-0.03549,0.06739,27
SC_TypeII,single,-0.1413,0.3761,54
Superfluid,0-bar,-0.06405,0.03063,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.004762,0.00488,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.02911,0.0355,6
