category,sub_network,mean,std,count
SC_Binary,pi,-0.007131,0.01006,6
SC_Binary,sigma,-0.009326,0.04459,6
SC_Binary,sigma-vs-pi,-0.01185,0.01852,4
SC_Binary,single,-0.02586,0.05188,30
SC_HeavyFermion,single,-0.02262,0.03821,18
SC_HighPressure,H1-optic-sigma,-0.0944,0.08629,3
SC_HighPressure,H1-optic-sigma-vs-H2-optic-pi,0.005389,0.03222,2
SC_HighPressure,H2-optic-pi,0.001277,0.01208,3
SC_HighPressure,La-acous-sigma,-0.2901,0.6119,3
SC_HighPressure,single,-0.00274,0.03951,213
SC_IronBased,pi,-0.004895,0.03716,3
SC_IronBased,sigma,-0.03055,0.0179,3
SC_IronBased,sigma-vs-pi,0,0,2
SC_IronBased,single,-0.003052,0.02049,36
SC_Molecular,single,-0.003369,0.0183,12
SC_Oxide,single,-0.02483,0.05752,18
SC_TypeI,single,-0.04657,0.07497,27
SC_TypeII,single,-0.0898,0.1171,27
Superfluid,0-bar,-0.2203,0.1188,3
Superfluid,0-bar-vs-10-bar,0.0101,0.01429,2
Superfluid,1-bar,-0.005048,0.004972,3
Superfluid,1-bar-vs-10-bar,0.003763,0.0003945,2
Superfluid,10-bar,-0.09757,0.1242,6
