family_type,group,lock_type,metric,n,mean,std_dev,ci_low,ci_high
category+sub_network,SC_Binary_pi,integer,exp_a_2,4,1.212,0.6553,0,2.5
category+sub_network,SC_Binary_pi,integer,exp_b_3,4,0.7485,0.4241,0,1.5
category+sub_network,SC_Binary_pi,integer,exp_c_5,4,0.2555,0.2199,0,0.75
category+sub_network,SC_Binary_pi,integer,exp_d_7,4,0.505,0.2588,0,1
category+sub_network,SC_Binary_pi,rational,q_avg,2,6.002,0.7197,5,7
category+sub_network,SC_Binary_sigma,integer,exp_a_2,6,0.8337,0.2772,0.3333,1.333
category+sub_network,SC_Binary_sigma,integer,exp_b_3,6,0.6623,0.3149,0.1667,1.333
category+sub_network,SC_Binary_sigma,integer,exp_c_5,6,0.5027,0.2011,0.1667,0.8333
category+sub_network,SC_Binary_sigma,integer,exp_d_7,6,0.3287,0.1882,0,0.6667
category+sub_network,SC_Binary_sigma-vs-pi,rational,q_avg,4,6.253,1.544,2.75,8
category+sub_network,SC_Binary_single,integer,exp_a_2,24,1.276,0.2873,0.75,1.897
category+sub_network,SC_Binary_single,integer,exp_b_3,24,0.5818,0.1798,0.25,0.9583
category+sub_network,SC_Binary_single,integer,exp_c_5,24,0.3354,0.09468,0.1667,0.5417
category+sub_network,SC_Binary_single,integer,exp_d_7,24,0.4576,0.1275,0.2083,0.7083
category+sub_network,SC_Binary_single,rational,q_avg,6,6.13,0.6432,5,7.333
category+sub_network,SC_HeavyFermion_single,rational,q_avg,18,5.396,0.4825,4.389,6.333
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_a_2,3,1.347,1.133,0,4
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_b_3,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_c_5,3,0.6533,0.2903,0,1
category+sub_network,SC_HighPressure_H1-optic-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_H1-optic-sigma-vs-H2-optic-pi,rational,q_avg,2,2.501,0.3681,2,3
category+sub_network,SC_HighPressure_H2-optic-pi,rational,q_avg,3,4.685,1.188,2,7
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_a_2,3,1.392,1.095,0,4
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_b_3,3,0.6707,0.2633,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_c_5,3,0.348,0.2737,0,1
category+sub_network,SC_HighPressure_La-acous-sigma,integer,exp_d_7,3,0,0,0,0
category+sub_network,SC_HighPressure_single,integer,exp_a_2,97,1.076,0.1023,0.8969,1.289
category+sub_network,SC_HighPressure_single,integer,exp_b_3,97,0.5107,0.07535,0.3711,0.6652
category+sub_network,SC_HighPressure_single,integer,exp_c_5,97,0.3408,0.06202,0.2268,0.4742
category+sub_network,SC_HighPressure_single,integer,exp_d_7,97,0.084,0.02885,0.03093,0.1443
category+sub_network,SC_HighPressure_single,rational,q_avg,116,5.912,0.1999,5.521,6.302
category+sub_network,SC_IronBased_pi,rational,q_avg,3,2.669,0.2712,2,3
category+sub_network,SC_IronBased_sigma,integer,exp_a_2,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,integer,exp_b_3,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_c_5,1,0,0,0,0
category+sub_network,SC_IronBased_sigma,integer,exp_d_7,1,1,0,1,1
category+sub_network,SC_IronBased_sigma,rational,q_avg,2,4.46,1.673,2,7
category+sub_network,SC_IronBased_sigma-vs-pi,rational,q_avg,2,1,0,1,1
category+sub_network,SC_IronBased_single,integer,exp_a_2,4,0.511,0.4521,0,1.5
category+sub_network,SC_IronBased_single,integer,exp_b_3,4,0.7515,0.2101,0.25,1
category+sub_network,SC_IronBased_single,integer,exp_c_5,4,0,0,0,0
category+sub_network,SC_IronBased_single,integer,exp_d_7,4,0.2485,0.2101,0,0.75
category+sub_network,SC_IronBased_single,rational,q_avg,32,4.811,0.3254,4.202,5.469
category+sub_network,SC_Molecular_single,rational,q_avg,12,5.12,0.5946,3.917,6.25
category+sub_network,SC_Oxide_single,rational,q_avg,18,4.981,0.4025,4.249,5.778
category+sub_network,SC_TypeI_single,integer,exp_a_2,27,1.55,0.2228,1.148,2.019
category+sub_network,SC_TypeI_single,integer,exp_b_3,27,0.8201,0.168,0.4815,1.148
category+sub_network,SC_TypeI_single,integer,exp_c_5,27,0.5069,0.1456,0.2593,0.8148
category+sub_network,SC_TypeI_single,integer,exp_d_7,27,0.4012,0.1084,0.1852,0.6296
category+sub_network,SC_TypeII_single,integer,exp_a_2,27,1.913,0.3128,1.333,2.593
category+sub_network,SC_TypeII_single,integer,exp_b_3,27,0.583,0.1643,0.2963,0.9259
category+sub_network,SC_TypeII_single,integer,exp_c_5,27,0.5278,0.1483,0.2593,0.8343
category+sub_network,SC_TypeII_single,integer,exp_d_7,27,0.4083,0.1129,0.2028,0.6296
category+sub_network,Superfluid_0-bar,rational,q_avg,3,1.998,0.821,1,4
category+sub_network,Superfluid_0-bar-vs-10-bar,rational,q_avg,2,4.556,2.571,1,8
category+sub_network,Superfluid_1-bar,rational,q_avg,3,1,0,1,1
category+sub_network,Superfluid_1-bar-vs-10-bar,rational,q_avg,2,1,0,1,1
category+sub_network,Superfluid_10-bar,rational,q_avg,6,2.158,0.6986,1,3.5
